Are you self-employed?,How many employees?,Is employer primarily a tech company?,Are mental health benefits provided as part of healthcare?,Do employer provide resources related to mental health concerns?,What reason would you provide for asking a leave for mental health issue? ,Does discussion with employer about mental health issues have negative consequence?,Does discussion with employer about physical health issues have negative consequence?,Feel comfortable discussing mental health issues with co-worker?,Feel comfortable discussing mental health issues with direct supervisor?,Aware of local/online resources to seek help for mental health issue?,Is the productivity affected by mental health issue?,What percentage of time is affected by mental health issue?,Do you currently have a mental health disorder?,What condition(s) of mental health issue have you been diagnosed with?,Have you sought help from professional for mental health issue?,Do you feel mental health issue interferes with work when being treated?,Do you feel mental health issue interferes with work when not being treated?,What is your age?,What is your gender?,What country do you live in?,Do you work remotely?,Is your primary role within your company related to tech/IT?,Do you know options for mental health care under employer-provided coverage?  ,Has your employer ever formally discussed mental health?,Is anonymity protected for treatment of mental health issues under employer benefits?,Do employer treat mental health and physical health equally?,Do you have private/state medical coverage for treatment of mental health issues?,Does being identified as a person with mental health issue would hurt your career?,Do you have a family history of mental illness?
0,26-100,1.0,Yes,Yes,Very easy,No,No,Maybe,Yes,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,28,Male,United States of America,Never,,I am not sure,Yes,Yes,Yes,,"No, I don't think it would",I don't know
0,100-500,0.0,Yes,I don't know,Somewhat difficult,Yes,No,No,No,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Never,Rarely,34,Male,United States of America,Sometimes,1.0,Yes,No,I don't know,No,,"Yes, I think it would",Yes
0,100-500,1.0,Yes,No,Very easy,No,No,Yes,Yes,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,30,Female,United States of America,Always,,I am not sure,No,Yes,Yes,,"No, it has not",Yes
0,100-500,0.0,Yes,Yes,Somewhat easy,No,No,No,Maybe,,,,Maybe,,0,Not applicable to me,Sometimes,44,Male,Canada,Sometimes,1.0,Yes,Yes,Yes,Yes,,Maybe,No
0,100-500,1.0,Yes,I don't know,Very easy,No,No,Yes,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Sometimes,35,Male,United States of America,Always,,Yes,No,Yes,No,,"No, it has not",Yes
0,100-500,1.0,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,52,Male,United States of America,Sometimes,,No,No,I don't know,I don't know,,Maybe,Yes
0,26-100,1.0,Not eligible for coverage,No,Very difficult,Maybe,No,Maybe,Maybe,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Often,32,Other,Canada,Always,,No,No,I don't know,No,,"Yes, it has",Yes
0,500-1000,1.0,No,No,I don't know,Maybe,No,Yes,Maybe,,,,No,,0,Not applicable to me,Not applicable to me,34,Male,United Kingdom,Never,,No,No,I don't know,No,,Maybe,No
1,,,,,,,,,,I know some,Yes,76-100%,Yes,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,25,Female,United States of America,Always,,,,,,1.0,"Yes, it has",I don't know
0,100-500,0.0,I don't know,No,I don't know,Yes,No,No,No,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,31,Male,United States of America,Sometimes,1.0,No,No,I don't know,Yes,,"Yes, I think it would",Yes
0,6-25,1.0,No,No,Very easy,No,No,Maybe,Yes,,,,No,,0,Not applicable to me,Not applicable to me,26,Male,United States of America,Sometimes,,,No,I don't know,I don't know,,"Yes, I think it would",Yes
0,More than 1000,0.0,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,,,,No,,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Never,1.0,No,Yes,I don't know,I don't know,,Maybe,No
0,26-100,1.0,Yes,No,Very easy,Maybe,Maybe,Maybe,No,,,,No,,0,Not applicable to me,Not applicable to me,25,Male,Germany,Sometimes,,Yes,No,I don't know,I don't know,,Maybe,I don't know
0,1-5,1.0,Yes,No,Somewhat difficult,Maybe,No,Maybe,Maybe,,,,No,,1,Sometimes,Often,33,Male,Canada,Sometimes,,Yes,No,I don't know,I don't know,,"Yes, I think it would",Yes
1,,,,,,,,,,I know some,Not applicable to me,,No,,0,Not applicable to me,Not applicable to me,38,Male,United States of America,Sometimes,,,,,,1.0,Maybe,No
0,100-500,0.0,Yes,Yes,Very easy,No,No,Maybe,Maybe,,,,No,,0,Not applicable to me,Not applicable to me,42,Male,Germany,Never,1.0,Yes,I don't know,Yes,Yes,,Maybe,No
0,26-100,0.0,No,No,Very difficult,Yes,Yes,No,No,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,27,Male,Netherlands,Sometimes,1.0,No,No,I don't know,No,,"Yes, I think it would",I don't know
0,100-500,1.0,I don't know,No,Somewhat difficult,No,No,No,No,,,,Maybe,,1,Sometimes,Often,35,Male,Germany,Never,,No,No,I don't know,I don't know,,"Yes, I think it would",No
0,500-1000,0.0,I don't know,Yes,Neither easy nor difficult,Maybe,No,Maybe,Maybe,,,,Maybe,,1,Sometimes,Often,34,Female,United Kingdom,Never,1.0,No,Yes,I don't know,I don't know,,"Yes, I think it would",Yes
0,6-25,1.0,Not eligible for coverage,No,Somewhat easy,No,No,Yes,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,32,Other,United Kingdom,Never,,,No,Yes,Yes,,"Yes, I think it would",Yes
0,100-500,1.0,Not eligible for coverage,No,Somewhat easy,Maybe,No,Maybe,Maybe,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,32,Other,Germany,Never,,Yes,No,I don't know,No,,"Yes, I think it would",Yes
0,100-500,1.0,Yes,Yes,Very easy,No,No,Yes,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",1,Often,Sometimes,30,Male,United States of America,Sometimes,,Yes,No,Yes,Yes,,"No, I don't think it would",No
0,More than 1000,1.0,I don't know,No,Very easy,Maybe,No,No,Maybe,,,,Maybe,,0,Rarely,Often,31,Male,United States of America,Never,,I am not sure,No,I don't know,No,,Maybe,I don't know
1,,,,,,,,,,"No, I don't know any",Yes,1-25%,No,,0,Not applicable to me,Not applicable to me,37,Male,Czech Republic,Sometimes,,,,,,0.0,Maybe,No
0,26-100,1.0,Yes,I don't know,Very easy,No,No,Maybe,Yes,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",0,Not applicable to me,Sometimes,36,Male,United Kingdom,Sometimes,,I am not sure,No,Yes,Yes,,"No, I don't think it would",No
0,100-500,1.0,No,Yes,Somewhat easy,Maybe,No,No,No,,,,No,,0,Not applicable to me,Not applicable to me,33,Male,Germany,Never,,No,No,I don't know,I don't know,,"Yes, I think it would",No
0,26-100,1.0,Yes,Yes,Very easy,No,No,Yes,Maybe,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,44,Male,United States of America,Always,,I am not sure,No,Yes,Yes,,Maybe,Yes
0,100-500,1.0,No,No,Somewhat easy,No,No,Yes,Yes,,,,Maybe,,0,Never,Sometimes,29,Male,United Kingdom,Never,,Yes,No,I don't know,Yes,,Maybe,No
0,100-500,1.0,No,No,Somewhat easy,No,No,Maybe,Yes,,,,Maybe,,1,Rarely,Sometimes,29,Male,United Kingdom,Sometimes,,I am not sure,Yes,I don't know,I don't know,,Maybe,Yes
0,More than 1000,1.0,Yes,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,,,,No,,0,Not applicable to me,Not applicable to me,44,Male,Canada,Always,,Yes,I don't know,I don't know,I don't know,,Maybe,I don't know
1,,,,,,,,,,I know some,Yes,26-50%,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",0,Rarely,Sometimes,34,Male,United States of America,Sometimes,,,,,,1.0,"Yes, I think it would",Yes
0,100-500,1.0,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Sometimes,40,Male,United States of America,Always,,I am not sure,No,Yes,No,,"No, I don't think it would",I don't know
0,More than 1000,1.0,Yes,No,Somewhat difficult,Yes,Maybe,Yes,Yes,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Often,Often,46,Female,Netherlands,Never,,I am not sure,No,Yes,No,,Maybe,Yes
1,,,,,,,,,,I know some,Yes,51-75%,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Often,28,Male,Lithuania,Sometimes,,,,,,1.0,"Yes, I think it would",Yes
0,More than 1000,0.0,No,No,Somewhat difficult,Maybe,No,No,No,,,,No,,0,Not applicable to me,Not applicable to me,41,Male,United States of America,Never,1.0,I am not sure,No,No,No,,"Yes, I think it would",No
0,6-25,1.0,Yes,Yes,Somewhat easy,Maybe,Maybe,Maybe,Maybe,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",1,Sometimes,Often,33,Male,United States of America,Sometimes,,Yes,I don't know,I don't know,No,,"Yes, I think it would",Yes
1,,,,,,,,,,I know some,Yes,1-25%,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",1,Rarely,Often,32,Male,United States of America,Sometimes,,,,,,1.0,"No, I don't think it would",Yes
0,6-25,1.0,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,,,,Maybe,,0,Not applicable to me,Sometimes,45,Male,United States of America,Sometimes,,No,No,I don't know,I don't know,,Maybe,I don't know
1,,,,,,,,,,I know some,Yes,26-50%,Maybe,,1,Not applicable to me,Not applicable to me,43,Male,United Kingdom,Sometimes,,,,,,0.0,"No, I don't think it would",Yes
0,6-25,1.0,Yes,No,Very easy,No,No,Yes,Maybe,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,37,Female,United States of America,Always,,Yes,No,Yes,I don't know,,Maybe,No
0,26-100,1.0,No,No,Somewhat easy,Maybe,Maybe,No,No,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,37,Male,Australia,Never,,,No,I don't know,I don't know,,"Yes, it has",I don't know
0,6-25,1.0,Yes,No,Very easy,Maybe,Maybe,Yes,Yes,,,,No,,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Sometimes,,Yes,No,Yes,I don't know,,Maybe,Yes
1,,,,,,,,,,"No, I don't know any",Not applicable to me,,No,,0,Not applicable to me,Not applicable to me,31,Male,Netherlands,Sometimes,,,,,,1.0,Maybe,No
0,More than 1000,1.0,Yes,Yes,Somewhat difficult,Maybe,Maybe,Maybe,Yes,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Never,Sometimes,36,Male,United States of America,Sometimes,,Yes,No,I don't know,Yes,,Maybe,Yes
0,500-1000,0.0,Yes,No,I don't know,Maybe,No,Maybe,Maybe,,,,Maybe,,1,Rarely,Often,34,Male,United States of America,Always,1.0,Yes,No,I don't know,I don't know,,"Yes, I think it would",No
0,More than 1000,0.0,Yes,Yes,Somewhat difficult,Maybe,Maybe,Yes,Yes,,,,No,,0,Not applicable to me,Not applicable to me,31,Female,United States of America,Sometimes,0.0,No,Yes,I don't know,I don't know,,Maybe,No
0,26-100,1.0,Yes,Yes,Somewhat easy,No,No,Yes,Yes,,,,Maybe,,1,Rarely,Often,30,Male,United States of America,Never,,Yes,No,I don't know,Yes,,Maybe,Yes
0,100-500,0.0,Yes,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,,,,Maybe,,0,Sometimes,Often,32,Male,Canada,Never,1.0,Yes,No,Yes,No,,"Yes, I think it would",Yes
0,6-25,0.0,Yes,No,Somewhat difficult,No,No,No,Maybe,,,,Maybe,,0,Not applicable to me,Not applicable to me,40,Female,United States of America,Sometimes,1.0,I am not sure,No,I don't know,I don't know,,"No, I don't think it would",I don't know
0,100-500,0.0,I don't know,No,Neither easy nor difficult,Maybe,No,Maybe,No,,,,No,,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Sometimes,1.0,No,No,I don't know,I don't know,,Maybe,I don't know
0,More than 1000,1.0,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Yes,,,,Maybe,,0,Sometimes,Sometimes,41,Male,France,Sometimes,,I am not sure,Yes,I don't know,No,,"Yes, I think it would",I don't know
0,26-100,0.0,Not eligible for coverage,No,Very difficult,Yes,No,No,Maybe,,,,Maybe,,1,Rarely,Often,27,Male,United Kingdom,Never,1.0,,No,I don't know,No,,"Yes, I think it would",No
0,26-100,1.0,Yes,No,Somewhat easy,No,No,Yes,Yes,,,,No,,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes,,Yes,No,I don't know,I don't know,,Maybe,No
1,,,,,,,,,,I know some,Not applicable to me,,Maybe,,0,Not applicable to me,Not applicable to me,29,Male,Venezuela,Always,,,,,,0.0,"Yes, I think it would",I don't know
1,,,,,,,,,,"No, I don't know any",Not applicable to me,,No,,0,Not applicable to me,Not applicable to me,38,Male,United Kingdom,Sometimes,,,,,,0.0,Maybe,No
1,,,,,,,,,,"No, I don't know any",Not applicable to me,,No,,0,Not applicable to me,Not applicable to me,35,Male,Netherlands,Sometimes,,,,,,1.0,"No, I don't think it would",No
0,6-25,0.0,No,No,Somewhat difficult,Maybe,No,Maybe,Maybe,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,35,Female,United States of America,Never,0.0,Yes,No,I don't know,No,,"Yes, I think it would",Yes
0,More than 1000,1.0,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,No,No,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder",1,Often,Often,29,Male,United States of America,Always,,I am not sure,Yes,I don't know,I don't know,,"Yes, I think it would",Yes
0,100-500,1.0,Yes,I don't know,I don't know,Maybe,Maybe,No,Maybe,,,,No,,0,Not applicable to me,Not applicable to me,28,Male,United States of America,Never,,I am not sure,No,Yes,I don't know,,"Yes, I think it would",Yes
0,26-100,0.0,No,I don't know,Very easy,No,No,No,Yes,,,,Maybe,,1,Rarely,Often,27,Male,Netherlands,Sometimes,1.0,Yes,No,Yes,Yes,,Maybe,I don't know
1,,,,,,,,,,I know some,No,,No,,1,Not applicable to me,Not applicable to me,39,Male,Poland,Sometimes,,,,,,0.0,Maybe,No
0,100-500,1.0,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,,,,No,,0,Not applicable to me,Not applicable to me,28,Male,Belgium,Sometimes,,I am not sure,No,I don't know,I don't know,,Maybe,No
0,6-25,0.0,I don't know,No,Very difficult,Yes,Maybe,No,No,,,,No,,0,Not applicable to me,Not applicable to me,46,Male,United States of America,Sometimes,1.0,No,No,I don't know,No,,"Yes, I think it would",Yes
0,1-5,1.0,No,I don't know,Very easy,No,No,Yes,Yes,,,,No,,1,Not applicable to me,Not applicable to me,40,Male,Netherlands,Sometimes,,No,No,I don't know,I don't know,,Maybe,No
0,26-100,1.0,Yes,No,Very easy,No,No,Maybe,Yes,,,,Maybe,,0,Not applicable to me,Sometimes,37,Male,United States of America,Always,,Yes,No,Yes,Yes,,Maybe,Yes
0,26-100,1.0,No,No,Very easy,No,No,Maybe,Yes,,,,No,,0,Not applicable to me,Not applicable to me,41,Male,Netherlands,Sometimes,,,No,I don't know,I don't know,,Maybe,Yes
1,,,,,,,,,,I know some,Unsure,,Yes,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",0,Not applicable to me,Not applicable to me,19,Male,France,Never,,,,,,0.0,"No, I don't think it would",I don't know
0,6-25,1.0,I don't know,No,Somewhat easy,No,No,Yes,Maybe,,,,No,,0,Not applicable to me,Not applicable to me,38,Female,Netherlands,Never,,I am not sure,No,No,Yes,,Maybe,No
0,26-100,1.0,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,,,,No,,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Sometimes,,I am not sure,No,I don't know,No,,Maybe,No
0,26-100,1.0,Yes,Yes,Very easy,No,No,Maybe,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,33,Male,United States of America,Always,,Yes,No,Yes,Yes,,Maybe,Yes
0,1-5,1.0,Yes,I don't know,I don't know,No,No,Maybe,Yes,,,,No,,0,Not applicable to me,Not applicable to me,21,Male,United Kingdom,Never,,Yes,No,Yes,I don't know,,Maybe,No
0,1-5,1.0,No,No,Very difficult,Maybe,Maybe,No,No,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",0,Often,Often,36,Male,Brazil,Never,,No,No,I don't know,I don't know,,Maybe,Yes
1,,,,,,,,,,I know some,Yes,1-25%,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Sometimes,39,Male,Canada,Sometimes,,,,,,0.0,Maybe,Yes
0,26-100,1.0,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,,,,No,,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Sometimes,,I am not sure,No,Yes,Yes,,"No, I don't think it would",No
1,,,,,,,,,,"Yes, I know several",Unsure,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)",1,Rarely,Sometimes,36,Male,France,Sometimes,,,,,,1.0,Maybe,Yes
0,6-25,1.0,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,,,,Maybe,,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Never,,No,No,I don't know,No,,Maybe,No
0,26-100,1.0,I don't know,No,Somewhat difficult,Maybe,No,Maybe,Maybe,,,,Maybe,,0,Not applicable to me,Rarely,41,Male,Canada,Never,,No,No,I don't know,No,,"Yes, I think it would",No
0,26-100,1.0,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,35,Male,United Kingdom,Sometimes,,I am not sure,No,I don't know,No,,"Yes, it has",I don't know
1,,,,,,,,,,"Yes, I know several",Yes,26-50%,Maybe,,1,Sometimes,Often,30,Male,United States of America,Sometimes,,,,,,1.0,"No, I don't think it would",I don't know
0,26-100,1.0,I don't know,Yes,Very easy,No,No,Maybe,Maybe,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Often,24,Female,United States of America,Sometimes,,I am not sure,Yes,Yes,Yes,,"No, I don't think it would",Yes
0,100-500,0.0,No,No,I don't know,Maybe,No,No,No,,,,No,,1,Never,Sometimes,33,Male,Brazil,Never,1.0,,No,I don't know,I don't know,,Maybe,I don't know
0,More than 1000,1.0,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,,,,Maybe,,1,Rarely,Often,35,Male,United States of America,Sometimes,,Yes,I don't know,I don't know,I don't know,,"Yes, I think it would",Yes
0,6-25,1.0,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Substance Use Disorder",0,Rarely,Sometimes,26,Male,United Kingdom,Sometimes,,,Yes,I don't know,Yes,,Maybe,No
0,6-25,1.0,No,No,Somewhat difficult,Yes,No,No,Yes,,,,No,,0,Never,Sometimes,17,Male,Brazil,Always,,,No,I don't know,No,,Maybe,No
0,6-25,0.0,I don't know,No,Neither easy nor difficult,No,No,Maybe,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,29,Female,United States of America,Sometimes,1.0,I am not sure,No,I don't know,I don't know,,Maybe,No
0,100-500,1.0,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,26,Male,United States of America,Sometimes,,I am not sure,No,I don't know,I don't know,,"No, I don't think it would",Yes
0,26-100,1.0,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,,,,No,,0,Not applicable to me,Not applicable to me,36,Female,United States of America,Always,,I am not sure,No,I don't know,I don't know,,"Yes, I think it would",No
0,26-100,1.0,I don't know,I don't know,I don't know,No,No,No,No,,,,No,,0,Not applicable to me,Not applicable to me,46,Male,United States of America,Sometimes,,I am not sure,Yes,Yes,Yes,,Maybe,I don't know
1,,,,,,,,,,"Yes, I know several",Unsure,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",0,Not applicable to me,Not applicable to me,39,Male,Netherlands,Sometimes,,,,,,1.0,"Yes, I think it would",Yes
0,100-500,1.0,Yes,No,Somewhat difficult,Maybe,No,Maybe,Yes,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Often,28,Female,United States of America,Sometimes,,Yes,No,I don't know,No,,Maybe,Yes
0,500-1000,1.0,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,No,,,,No,,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Sometimes,,No,I don't know,I don't know,I don't know,,"Yes, I think it would",No
0,100-500,1.0,I don't know,No,I don't know,Yes,No,Maybe,Yes,,,,Yes,Attention Deficit Hyperactivity Disorder|Pervasive Developmental Disorder (Not Otherwise Specified),1,Often,Often,23,Male,United States of America,Sometimes,,No,No,I don't know,No,,"Yes, I think it would",I don't know
0,6-25,1.0,I don't know,No,Neither easy nor difficult,No,No,Yes,Yes,,,,No,,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes,,I am not sure,No,I don't know,I don't know,,Maybe,Yes
0,26-100,1.0,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,,,,No,,0,Not applicable to me,Not applicable to me,28,Other,United States of America,Sometimes,,I am not sure,I don't know,I don't know,I don't know,,"Yes, I think it would",Yes
0,26-100,1.0,No,No,Somewhat difficult,Yes,No,Maybe,Maybe,,,,Maybe,,0,Not applicable to me,Sometimes,27,Male,Netherlands,Never,,I am not sure,No,I don't know,No,,Maybe,I don't know
1,,,,,,,,,,I know some,Yes,51-75%,Maybe,,1,Often,Often,31,Male,United States of America,Always,,,,,,0.0,"Yes, I think it would",No
0,26-100,1.0,Yes,No,Somewhat difficult,Maybe,No,Maybe,No,,,,Maybe,,1,Sometimes,Sometimes,39,Female,United States of America,Never,,Yes,No,I don't know,No,,Maybe,Yes
0,More than 1000,1.0,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,,,,Yes,Seasonal Affective Disorder,1,Sometimes,Sometimes,34,Female,United States of America,Always,,Yes,No,Yes,No,,Maybe,Yes
